fecha;simbolo;apertura;maximo;minimo;cierre;volumen;dividendo;exchange
2026-05-29;AAPL;311,775;315,0;309,53;312,06;56454230;0,0;XNAS
2026-05-28;AAPL;310,68;312,76;309,57;312,51;44630908;0,0;XNAS
2026-05-27;AAPL;308,44;313,26;308,3;310,85;50328044;0,0;XNAS
2026-05-26;AAPL;309,4;311,82;307,67;308,33;46602561;0,0;XNAS
2026-05-22;AAPL;306,12;311,4;305,84;308,82;43627900;0,0;XNAS
2026-05-21;AAPL;301,05;305,539;300,4;304,99;42823425;0,0;XNAS
2026-05-20;AAPL;298,18;302,8;298,09;302,25;37276629;0,0;XNAS
2026-05-19;AAPL;296,97;300,51;296,35;298,97;34842416;0,0;XNAS
2026-05-18;AAPL;300,24;300,66;294,91;297,84;34313641;0,0;XNAS
2026-05-15;AAPL;297,755;303,2;296,53;300,23;54675423;0,0;XNAS
2026-05-14;AAPL;299,82;300,35;295,38;298,21;33673067;0,0;XNAS
2026-05-13;AAPL;293,63;300,92;293,56;298,87;45313913;0,0;XNAS
2026-05-12;AAPL;292,755;295,27;292,615;294,8;43943518;0,0;XNAS
2026-05-11;AAPL;291,979;293,88;290,23;292,68;39366022;0,27;XNAS
2026-05-08;AAPL;290,11;294,76;290,0;293,32;45708423;0,0;XNAS
2026-05-07;AAPL;289,27;292,13;285,78;287,44;40410371;0,0;XNAS
2026-05-06;AAPL;281,915;288,03;281,075;287,51;58322453;0,0;XNAS
2026-05-05;AAPL;276,9;284,57;276,501;284,18;47037582;0,0;XNAS
2026-05-04;AAPL;279,655;280,63;274,8601;276,83;45414226;0,0;XNAS
2026-05-01;AAPL;278,94;287,21;278,37;280,14;76013740;0,0;XNAS
2026-04-30;AAPL;270,5;275,94;268,14;271,35;83815040;0,0;XNAS
2026-04-29;AAPL;267,55;271,04;267,04;270,17;24117049;0,0;XNAS
2026-04-28;AAPL;272,335;273,22;268,66;270,71;32820055;0,0;XNAS
2026-04-27;AAPL;266,09;268,36;265,07;267,61;41213866;0,0;XNAS
2026-04-24;AAPL;272,76;273,06;269,65;271,06;38033227;0,0;XNAS
2026-04-23;AAPL;275,045;275,77;271,65;273,43;33138070;0,0;XNAS
2026-04-22;AAPL;267,82;273,74;266,87;273,17;42729584;0,0;XNAS
2026-04-21;AAPL;271,445;272,8;265,4;266,17;49363473;0,0;XNAS
2026-04-20;AAPL;270,33;274,275;270,29;273,05;34667241;0,0;XNAS
2026-04-17;AAPL;267,098;272,3;266,72;270,23;55211089;0,0;XNAS
2026-04-16;AAPL;266,8;267,16;261,27;263,4;43105688;0,0;XNAS
2026-04-15;AAPL;258,095;266,56;257,82;266,43;49686657;0,0;XNAS
2026-04-14;AAPL;259,1;261,93;257,1901;258,83;39378346;0,0;XNAS
2026-04-13;AAPL;259,86;260,18;256,66;259,2;35080398;0,0;XNAS
2026-04-10;AAPL;259,98;262,19;259,02;260,48;31259500;0,0;XNAS
2026-04-09;AAPL;259,37;261,12;256,07;260,49;26229474;0,0;XNAS
2026-04-08;AAPL;258,51;259,7499;256,53;258,9;39655304;0,0;XNAS
2026-04-07;AAPL;256,155;256,19;245,7;253,5;60820961;0,0;XNAS
2026-04-06;AAPL;256,9625;262,16;256,48;258,86;29319825;0,0;XNAS
2026-04-02;AAPL;254,2;256,13;250,65;255,92;31289400;0,0;XNAS
2026-04-01;AAPL;254,3;256,18;253,33;255,63;35595400;0,0;XNAS
2026-03-31;AAPL;247,89;255,48;247,101;253,79;48770963;0,0;XNAS
2026-03-30;AAPL;249,995;250,84;245,51;246,63;38248670;0,0;XNAS
2026-03-27;AAPL;253,91;255,493;248,07;248,8;46525772;0,0;XNAS
2026-03-26;AAPL;251,995;257,0;250,775;252,89;41331888;0,0;XNAS
2026-03-25;AAPL;254,1;255,0;251,6;252,62;28436700;0,0;XNAS
2026-03-24;AAPL;250,49;254,825;249,55;251,64;27882961;0,0;XNAS
2026-03-23;AAPL;253,99;254,56;250,28;251,49;37465587;0,0;XNAS
2026-03-20;AAPL;248,11;249,1999;246,0;247,99;87981315;0,0;XNAS
2026-03-19;AAPL;249,4;251,83;247,3;248,96;34568663;0,0;XNAS
2026-03-18;AAPL;252,625;254,94;249,0;249,94;34652568;0,0;XNAS
2026-03-17;AAPL;253,0785;255,1299;252,18;254,23;27556024;0,0;XNAS
2026-03-16;AAPL;252,105;253,885;249,88;252,82;30091880;0,0;XNAS
2026-03-13;AAPL;255,4;256,33;249,52;250,12;34193754;0,0;XNAS
2026-03-12;AAPL;258,64;258,95;254,18;255,76;40132517;0,0;XNAS
2026-03-11;AAPL;261,09;262,13;259,55;260,81;26131800;0,0;XNAS
2026-03-10;AAPL;257,695;262,48;256,95;260,83;26403306;0,0;XNAS
2026-03-09;AAPL;255,69;261,15;253,6805;259,88;37958303;0,0;XNAS
2026-03-06;AAPL;258,74;258,76;254,37;257,46;40628988;0,0;XNAS
2026-03-05;AAPL;260,745;261,555;257,25;260,29;49424671;0,0;XNAS
2026-03-04;AAPL;264,65;266,15;261,42;262,52;39258957;0,0;XNAS
2026-03-03;AAPL;263,48;265,56;260,13;263,75;37994695;0,0;XNAS
2026-03-02;AAPL;262,44;266,53;260,2;264,72;41576035;0,0;XNAS
2026-02-27;AAPL;272,81;272,81;262,89;264,18;72239400;0,0;XNAS
2026-02-26;AAPL;274,955;276,11;270,795;272,95;32123760;0,0;XNAS
2026-02-25;AAPL;271,78;274,94;271,05;274,23;33627000;0,0;XNAS
2026-02-24;AAPL;268,0;274,89;267,74;272,14;46710423;0,0;XNAS
2026-02-23;AAPL;263,49;269,43;263,381;266,18;34926242;0,0;XNAS
2026-02-20;AAPL;258,955;264,75;258,16;264,58;36884993;0,0;XNAS
2026-02-19;AAPL;262,6;264,48;260,05;260,58;30716500;0,0;XNAS
2026-02-18;AAPL;263,5;266,82;262,45;264,35;33598417;0,0;XNAS
2026-02-17;AAPL;258,05;266,29;255,54;263,88;58081661;0,0;XNAS
2026-02-13;AAPL;262,01;262,23;255,45;255,78;56229900;0,0;XNAS
2026-02-12;AAPL;275,6;275,72;260,18;261,73;71430852;0,0;XNAS
2026-02-11;AAPL;274,695;280,18;274,45;275,5;51915838;0,0;XNAS
2026-02-10;AAPL;274,885;275,36;272,94;273,68;34311675;0,0;XNAS
2026-02-09;AAPL;277,91;278,2;271,7;274,62;44562300;0,26;XNAS
2026-02-06;AAPL;277,16;280,905;276,925;278,12;50050812;0,0;XNAS
2026-02-05;AAPL;278,02;279,5;273,23;275,91;52178159;0,0;XNAS
2026-02-04;AAPL;272,29;278,95;272,29;276,49;90458500;0,0;XNAS
2026-02-03;AAPL;269,13;271,875;267,61;269,48;63714867;0,0;XNAS
2026-02-02;AAPL;260,02;270,49;259,205;270,01;72890096;0,0;XNAS
2026-01-30;AAPL;255,165;261,64;252,18;259,48;79605051;0,0;XNAS
2026-01-29;AAPL;258,07;259,65;254,41;258,28;55636341;0,0;XNAS
2026-01-28;AAPL;257,56;258,855;254,51;256,44;33041915;0,0;XNAS
2026-01-27;AAPL;259,14;261,95;258,21;258,27;42113358;0,0;XNAS
2026-01-26;AAPL;251,48;256,56;249,8;255,41;55448748;0,0;XNAS
2026-01-23;AAPL;247,24;249,41;244,68;248,04;40981809;0,0;XNAS
2026-01-22;AAPL;249,2;251,0;248,18;248,35;36743336;0,0;XNAS
2026-01-21;AAPL;248,71;251,56;245,19;247,65;54151253;0,0;XNAS
2026-01-20;AAPL;252,51;254,79;243,42;246,7;77475520;0,0;XNAS
2026-01-16;AAPL;257,9;258,9;254,93;255,53;72018600;0,0;XNAS
2026-01-15;AAPL;258,72;261,03;257,05;258,21;34022938;0,0;XNAS
2026-01-14;AAPL;258,72;261,81;256,71;259,96;39954522;0,0;XNAS
2026-01-13;AAPL;259,41;261,81;258,39;261,05;41482227;0,0;XNAS
2026-01-12;AAPL;259,41;261,3;256,8;260,25;45056584;0,0;XNAS
2026-01-09;AAPL;259,075;260,21;256,2201;259,37;39911019;0,0;XNAS
2026-01-08;AAPL;256,995;259,28;255,7;259,04;50211734;0,0;XNAS
2026-01-07;AAPL;263,2;263,68;259,81;260,33;48262000;0,0;XNAS
2026-01-06;AAPL;267,0;267,55;262,12;262,36;52282100;0,0;XNAS
